study_hours,attendance,previous_score,assignment_score,sleep_hours,final_score
4.1,43.1,41.8,44.6,7.8,29.4
9.5,71.9,49.5,31.9,4.1,75.8
7.5,72.4,42.4,42.7,4.1,50.7
6.2,78.2,36.2,70.8,5.6,49.8
2.0,83.6,38.4,59.5,6.4,48.6
2.0,98.6,62.3,92.5,7.9,69.2
1.1,71.0,44.4,87.2,7.4,50.6
8.7,59.4,55.5,53.9,6.2,67.4
6.2,87.7,65.2,48.2,5.4,65.2
7.2,56.2,78.3,56.6,9.0,69.4
0.7,66.3,32.8,71.3,6.1,39.8
9.7,44.7,86.0,48.8,6.3,72.0
8.4,41.5,74.0,73.7,4.8,66.5
2.5,97.8,35.7,58.7,8.0,47.9
2.2,90.2,91.2,68.6,7.5,54.3
2.2,81.8,94.5,60.5,5.1,53.2
3.4,64.5,34.3,50.6,4.4,33.0
5.5,50.4,49.4,96.4,7.4,56.9
4.6,49.4,86.4,83.5,7.3,54.5
3.3,55.0,82.4,39.8,5.4,42.2
6.3,73.0,42.9,90.8,8.8,64.1
1.8,82.9,44.7,64.1,4.8,50.8
3.3,79.6,55.9,92.6,6.2,60.2
4.0,56.8,63.9,86.0,8.7,47.5
4.8,97.3,73.3,59.8,6.1,58.0
8.0,84.3,55.8,31.6,7.2,69.1
2.4,73.3,62.4,48.8,6.0,40.9
5.4,76.7,82.3,67.9,5.4,62.5
6.1,65.2,32.6,74.3,8.9,59.3
0.9,54.9,47.7,48.1,6.0,29.0
6.3,61.4,79.9,39.8,8.5,61.1
2.1,85.5,92.7,88.4,5.1,52.1
1.1,40.9,65.8,98.9,5.1,39.6
9.5,47.0,67.2,66.8,4.2,69.8
9.7,42.8,37.5,42.0,7.3,52.0
8.2,42.4,61.3,49.1,5.8,61.9
3.4,91.3,67.3,31.3,8.3,52.4
1.4,82.2,47.0,94.0,6.4,50.8
7.0,68.5,48.8,38.2,8.8,59.2
4.7,45.9,56.4,70.4,4.9,56.7
1.7,69.5,31.4,49.2,8.3,38.3
5.2,68.4,52.5,68.8,7.9,54.5
0.8,50.4,44.8,75.6,7.9,37.7
9.1,66.0,52.9,88.1,8.2,75.7
3.0,63.9,38.4,44.4,7.8,41.8
6.8,77.0,92.3,30.8,7.1,66.0
3.5,78.1,71.6,39.6,4.7,47.0
5.4,42.7,77.5,93.0,4.2,55.7
5.7,62.5,85.2,91.2,8.6,60.5
2.3,77.6,64.9,71.8,7.1,59.6
9.7,70.2,36.1,72.0,8.0,63.8
7.9,91.4,67.6,76.6,6.4,70.7
9.4,79.5,71.1,42.3,4.6,68.1
9.0,49.8,82.2,94.0,4.6,78.8
6.2,44.2,60.2,59.3,7.4,53.7
9.3,78.5,38.9,56.8,6.2,73.9
1.3,41.6,49.9,66.3,5.0,31.9
2.4,75.1,55.4,33.3,6.5,44.1
0.9,96.4,75.2,41.6,4.3,41.7
3.6,74.5,70.0,81.7,6.9,67.9
4.2,63.3,54.9,35.8,5.3,40.4
3.1,78.6,99.1,72.2,8.0,62.8
8.4,67.5,72.4,47.2,5.6,70.4
3.9,72.7,46.6,57.3,6.3,51.3
3.2,96.5,37.1,50.2,4.1,46.6
5.7,63.2,40.7,54.9,4.4,50.5
1.8,97.7,47.2,80.3,6.0,50.5
8.1,94.3,41.2,50.8,6.4,65.5
1.2,51.7,43.1,69.6,7.0,41.9
9.9,44.2,50.0,63.3,5.5,76.8
7.8,46.0,42.1,76.5,7.5,57.4
2.4,41.1,92.8,95.6,8.3,46.8
0.6,45.7,35.6,81.3,7.9,34.1
8.2,81.0,66.7,45.0,4.2,80.0
7.2,44.3,58.7,32.2,6.4,49.8
7.4,59.1,98.8,48.4,4.5,75.2
7.8,90.7,37.8,71.7,5.2,74.7
